project_id,compound_id,smiles,series,pIC50,logD,solubility_uM,microsomal_CLint,hERG_IC50_uM,Caco2_Papp,assay_date
KIN001,KIN001-042,CCc1ccc(NC(=O)c2ccc(Cl)cc2)c(Cl)c1,B,6.20,4.90,1.0,55.3,16.7,16.9,2026-04-06
KIN001,KIN001-043,Nc1cccc(NC(=O)c2ccc(O)cc2OC=O)n1,B,5.56,0.39,260.0,9.1,46.5,1.6,2026-04-07
KIN001,KIN001-044,N#Cc1cnc(Nc2ccc(O)cc2O)nc1,B,5.34,1.15,260.0,10.6,40.6,4.5,2026-04-09
KIN001,KIN001-045,CCc1cnc(Nc2ccc(F)cc2CN)nc1,B,6.10,1.96,232.1,30.0,36.8,10.0,2026-04-07
KIN001,KIN001-046,Nc1ccc(C(=O)Nc2cccc(N)n2)c(F)c1,B,5.57,1.72,260.0,12.9,42.5,7.5,2026-04-12
KIN001,KIN001-047,CCc1ccc(NC(=O)c2ccc(Cl)cc2)c(OC)c1,B,5.92,4.00,4.4,49.2,22.2,17.1,2026-04-10
KIN001,KIN001-048,CCc1ccc(C(=O)Nc2ccc(C#N)cc2OC)cc1,B,6.27,3.25,17.6,40.7,26.4,13.4,2026-04-16
KIN001,KIN001-049,N#Cc1cnc(Nc2ccc(OC=O)cc2CO)nc1,B,5.93,0.55,260.0,4.5,47.1,0.5,2026-04-18
KIN001,KIN001-050,Cc1ccc(C(=O)Nc2cccc(F)n2)c(N)c1,B,6.06,2.17,260.0,25.3,28.5,11.2,2026-04-21
KIN001,KIN001-051,COc1ccc(C(=O)Nc2ccc(CCO)cc2C)cc1,B,6.55,2.07,239.3,36.5,32.4,9.8,2026-04-22
KIN001,KIN001-052,CCOc1cc(CO)ccc1Nc1ncc(CCO)cn1,B,6.42,1.25,260.0,22.7,34.3,5.9,2026-04-20
KIN001,KIN001-053,Nc1cc(CCO)ccc1Nc1ncc(CCO)cn1,B,5.75,0.65,260.0,9.2,46.6,4.2,2026-04-21
KIN001,KIN001-054,Nc1cnc(Nc2ccc(F)cc2OC=O)nc1,B,5.69,1.61,260.0,19.1,36.7,7.5,2026-04-23
KIN001,KIN001-055,CCc1ccc(Nc2ncc(C(F)(F)F)cn2)c(Cl)c1,B,5.73,4.02,5.3,54.3,18.3,13.7,2026-05-01
KIN001,KIN001-056,CCOc1cc(CC)ccc1Nc1ncc(CO)cn1,B,6.47,2.38,127.3,24.8,33.2,13.4,2026-05-03
KIN001,KIN001-057,Cc1ccc(NC(=O)c2ccc(OC=O)cc2)c(CN)c1,B,6.63,2.04,260.0,34.0,37.3,7.7,2026-05-01
KIN001,KIN001-058,CCOc1cc(CC)ccc1C(=O)Nc1cccc(CCO)n1,B,7.04,2.66,38.7,23.4,32.2,15.0,2026-05-07
KIN001,KIN001-059,O=C(Nc1cccc(CCO)n1)c1ccc(C(F)(F)F)cc1O,B,7.00,2.28,172.5,29.3,32.1,9.9,2026-05-10
KIN001,KIN001-060,N#Cc1cc(N)ccc1NC(=O)c1ccc(N)cc1,B,5.45,1.56,260.0,25.5,41.4,3.9,2026-05-12
KIN001,KIN001-061,COc1ccc(NC(=O)c2ccc(S)cc2)c(F)c1,C,5.89,3.19,49.8,28.7,26.5,14.6,2026-05-13
KIN001,KIN001-062,Nc1cnc(Nc2ccc(CCO)cc2F)nc1,C,5.99,1.21,260.0,19.9,39.2,6.5,2026-05-12
KIN001,KIN001-063,O=C(Nc1ccc(F)cc1CO)c1ccc(Br)cc1,C,6.71,2.82,37.6,41.1,26.5,16.5,2026-05-13
KIN001,KIN001-064,CCc1cc(N)ccc1C(=O)Nc1cccc(F)n1,C,6.35,2.07,260.0,23.7,33.0,11.9,2026-05-14
KIN001,KIN001-065,CCc1ccc(C(=O)Nc2cccc(N)n2)c(Cl)c1,C,6.43,3.17,47.8,46.4,24.0,12.4,2026-05-18
KIN001,KIN001-066,N#Cc1ccc(C(=O)Nc2cccc(F)n2)c(F)c1,C,6.45,2.29,260.0,21.7,39.1,14.0,2026-05-24
KIN001,KIN001-067,CCOc1cc(C(F)(F)F)ccc1C(=O)Nc1cccc(CO)n1,C,6.42,2.99,43.5,42.2,26.1,11.9,2026-05-25
KIN001,KIN001-068,O=CNc1ccc(C(=O)Nc2ccc(CO)cc2F)cc1,C,6.38,1.90,260.0,24.5,31.5,7.9,2026-05-27
KIN001,KIN001-069,CCOc1ccc(C(=O)Nc2ccc(CO)cc2N)cc1,C,6.24,2.48,260.0,27.5,33.8,11.8,2026-05-24
KIN001,KIN001-070,CNc1ccc(C(=O)Nc2ccc(N)cc2C#N)cc1,C,5.54,2.16,260.0,25.9,36.2,7.7,2026-05-27
KIN001,KIN001-071,CCc1cccc(NC(=O)c2ccc(CN)cc2N)n1,C,5.84,1.81,260.0,18.9,33.7,8.6,2026-05-27
KIN001,KIN001-072,CCc1cc(CO)ccc1C(=O)Nc1cccc(N)n1,C,6.11,1.65,260.0,12.7,43.4,7.4,2026-06-01
KIN001,KIN001-073,CCc1ccc(NC(=O)c2ccc(F)cc2)c(CN)c1,C,5.92,2.85,49.4,31.4,33.5,16.5,2026-06-04
KIN001,KIN001-074,O=C(Nc1ccc(CCO)cc1Cl)c1ccc(O)cc1,C,7.47,2.53,260.0,38.8,26.8,11.0,2026-06-07
KIN001,KIN001-075,O=C(Nc1ccc(CCO)cc1Cl)c1ccc(F)cc1,C,6.38,3.22,27.7,47.3,21.2,11.4,2026-01-06
KIN001,KIN001-076,CCOc1cc(N)ccc1Nc1ncc(C)cn1,C,5.81,2.32,260.0,28.2,34.3,11.3,2026-01-07
KIN001,KIN001-077,CNc1cc(C(F)(F)F)ccc1C(=O)Nc1cccc(F)n1,C,7.06,3.18,15.9,37.7,17.7,14.0,2026-01-11
KIN001,KIN001-078,NCc1cc(CO)ccc1NC(=O)c1ccc(O)cc1,C,5.97,1.47,260.0,21.7,44.0,3.2,2026-01-12
KIN001,KIN001-079,CCN1CCN(CCc2ccc(NC=O)cc2)CC1,C,5.51,0.98,260.0,14.3,36.3,10.6,2026-01-13
KIN001,KIN001-080,CCc1ccc(C(=O)Nc2ccc(C)cc2C)cc1,C,5.56,3.68,11.5,33.3,17.7,17.9,2026-01-14
KIN001,KIN001-081,O=COc1ccc(CCN2CCN(F)CC2)cc1,C,5.76,1.00,260.0,13.1,34.3,9.2,2026-01-12
KIN001,KIN001-082,CCOc1ccc(C(=O)Nc2ccc(CN)cc2CN)cc1,C,6.68,2.08,260.0,33.5,37.2,13.2,2026-01-15
KIN001,KIN001-083,O=COc1ccc(C(=O)Nc2ccc(CCO)cc2Cl)cc1,C,7.14,2.12,260.0,39.6,33.4,11.9,2026-01-22
KIN001,KIN001-084,OCN1CCN(CCc2ccc(S)cc2)CC1,C,5.61,0.78,260.0,20.5,35.8,8.6,2026-01-19
KIN001,KIN001-085,CCOc1cc(CN)ccc1C(=O)Nc1cccc(OC)n1,C,6.75,2.09,260.0,35.2,29.0,7.3,2026-01-20
KIN001,KIN001-086,CCc1ccc(C(=O)Nc2ccc(F)cc2OC)cc1,C,6.58,3.16,14.6,46.8,23.4,17.7,2026-01-24
KIN001,KIN001-087,O=COc1ccc(Nc2ncc(C(F)(F)F)cn2)c(O)c1,C,6.81,2.49,117.7,30.5,30.6,10.4,2026-01-27
KIN001,KIN001-088,Cc1ccc(C(=O)Nc2ccc(CO)cc2N)cc1,C,6.16,1.69,260.0,17.4,35.5,10.0,2026-01-28
KIN001,KIN001-089,CCc1ccc(Nc2ncc(Cl)cn2)c(CN)c1,C,6.41,2.46,158.6,27.0,29.4,14.4,2026-02-04
KIN001,KIN001-090,N#Cc1cccc(NC(=O)c2ccc(CO)cc2OC=O)n1,C,5.52,0.87,260.0,20.3,43.6,1.1,2026-01-30
KIN001,KIN001-091,COc1cc(CO)ccc1NC(=O)c1ccc(OC=O)cc1,D,6.30,1.49,260.0,25.6,40.5,11.2,2026-02-07
KIN001,KIN001-092,CCc1ccc(NC(=O)c2ccc(N)cc2)c(CCO)c1,D,6.46,2.25,260.0,33.1,32.3,7.9,2026-02-09
KIN001,KIN001-093,O=CNc1ccc(Nc2ncc(CO)cn2)c(O)c1,D,5.77,0.71,260.0,14.5,44.5,1.7,2026-02-06
KIN001,KIN001-094,N#Cc1cnc(Nc2ccc(CO)cc2O)nc1,D,5.00,1.13,260.0,17.2,43.1,2.8,2026-02-13
KIN001,KIN001-095,CCc1cc(CCO)ccc1C(=O)Nc1cccc(O)n1,D,6.17,1.88,260.0,24.6,45.9,8.4,2026-02-16
KIN001,KIN001-096,COc1cc(Cl)ccc1NC(=O)c1ccc(NC=O)cc1,D,6.99,3.04,60.7,39.4,26.1,13.2,2026-02-14
KIN001,KIN001-097,COc1ccc(C(=O)Nc2ccc(CO)cc2CO)cc1,D,6.57,1.60,260.0,27.9,39.4,9.2,2026-02-13
KIN001,KIN001-098,O=COc1cc(F)ccc1C(=O)Nc1cccc(C(F)(F)F)n1,D,7.24,3.03,36.9,38.8,21.2,13.9,2026-02-19
KIN001,KIN001-099,Cc1ccc(Nc2ncc(C(F)(F)F)cn2)c(C)c1,D,5.82,3.64,6.2,39.4,14.9,16.3,2026-02-20
KIN001,KIN001-100,Cc1ccc(NC(=O)c2ccc(Br)cc2)c(CCO)c1,D,6.54,3.52,11.4,54.2,19.4,16.7,2026-02-23
KIN001,KIN001-101,CCOc1ccc(C(=O)Nc2ccc(CN)cc2CCO)cc1,D,7.16,2.10,260.0,50.1,38.3,8.4,2026-02-25
KIN001,KIN001-102,Cc1cc(C#N)ccc1C(=O)Nc1cccc(N)n1,D,5.96,1.97,260.0,20.4,43.0,7.9,2026-02-26
KIN001,KIN001-103,CCc1cccc(NC(=O)c2ccc(C#N)cc2C)n1,D,6.13,2.82,76.4,28.8,35.9,15.6,2026-02-28
KIN001,KIN001-104,CCc1cnc(Nc2ccc(C(F)(F)F)cc2NC=O)nc1,D,7.26,3.46,43.8,47.1,21.1,14.7,2026-03-01
KIN001,KIN001-105,CCOc1ccc(Nc2ncc(C(F)(F)F)cn2)c(CC)c1,D,6.67,4.10,2.4,46.1,14.4,19.9,2026-03-05
KIN001,KIN001-106,CCOc1cc(CN)ccc1C(=O)Nc1cccc(C(F)(F)F)n1,D,6.67,2.91,107.5,43.0,18.0,12.5,2026-03-10
KIN001,KIN001-107,CNc1ccc(Nc2ncc(CO)cn2)c(CN)c1,D,5.27,1.25,260.0,8.2,37.8,7.9,2026-03-08
KIN001,KIN001-108,N#Cc1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)n1,D,7.57,3.35,24.4,31.7,25.7,14.7,2026-03-14
KIN001,KIN001-109,N#Cc1cnc(Nc2ccc(Br)cc2C#N)nc1,D,7.09,2.91,94.1,31.7,33.9,13.6,2026-03-11
KIN001,KIN001-110,O=C(Nc1ccc(CO)cc1CO)c1ccc(S)cc1,D,6.70,2.20,260.0,33.1,30.0,13.3,2026-03-17
KIN001,KIN001-111,O=COc1ccc(Nc2ncc(Cl)cn2)c(Cl)c1,D,6.63,3.11,44.6,33.1,23.2,13.4,2026-03-17
KIN001,KIN001-112,OCCc1ccc(Nc2ncc(F)cn2)c(F)c1,D,6.15,1.89,247.2,31.9,40.8,9.4,2026-03-17
KIN001,KIN001-113,N#Cc1cccc(NC(=O)c2ccc(N)cc2Cl)n1,D,6.51,2.04,260.0,21.9,35.2,10.4,2026-03-19
KIN001,KIN001-114,NCc1ccc(NC(=O)c2ccc(Cl)cc2)c(F)c1,D,6.68,2.87,123.7,34.5,26.1,12.0,2026-03-26
KIN001,KIN001-115,N#Cc1cnc(Nc2ccc(Br)cc2CO)nc1,D,7.23,2.29,260.0,19.4,33.5,8.2,2026-03-21
KIN001,KIN001-116,O=COc1cc(CCO)ccc1C(=O)Nc1cccc(CO)n1,D,6.29,0.51,260.0,23.5,39.2,2.4,2026-03-24
KIN001,KIN001-117,CCOc1ccc(Nc2ncc(O)cn2)c(F)c1,D,6.21,2.22,178.8,22.7,32.8,14.1,2026-03-26
KIN001,KIN001-118,O=C(Nc1cccc(CO)n1)c1ccc(Cl)cc1Br,D,6.87,3.21,83.5,45.0,24.4,12.4,2026-03-27
KIN001,KIN001-119,CCc1ccc(Nc2ncc(F)cn2)c(F)c1,D,5.97,2.86,38.8,27.8,18.8,15.1,2026-04-05
KIN001,KIN001-120,CCOc1ccc(Nc2ncc(CO)cn2)c(C)c1,D,5.96,2.47,205.1,28.7,31.0,14.0,2026-04-01
KIN001,KIN001-121,O=C(Nc1cccc(CO)n1)c1ccc(C(F)(F)F)cc1F,E,7.24,2.88,93.3,38.8,21.9,11.0,2026-04-09
KIN001,KIN001-122,N#Cc1ccc(NC(=O)c2ccc(F)cc2)c(C(F)(F)F)c1,E,6.98,3.63,7.3,44.3,17.1,13.7,2026-04-11
KIN001,KIN001-123,CCc1ccc(C(=O)Nc2ccc(OC)cc2C(F)(F)F)cc1,E,5.92,4.16,1.2,55.6,16.4,17.0,2026-04-10
KIN001,KIN001-124,CCc1ccc(C(=O)Nc2ccc(N)cc2C(F)(F)F)cc1,E,6.52,3.76,9.5,54.9,18.8,13.4,2026-04-12
KIN001,KIN001-125,CCc1ccc(C(=O)Nc2ccc(CCO)cc2C(F)(F)F)cc1,E,6.50,3.41,6.0,55.1,12.7,15.8,2026-04-13
KIN001,KIN001-126,OCCc1cnc(Nc2ccc(F)cc2C(F)(F)F)nc1,E,6.88,2.66,107.4,37.6,28.4,14.1,2026-04-14
KIN001,KIN001-127,NCc1ccc(Nc2ncc(N)cn2)c(O)c1,E,5.04,0.73,260.0,6.3,43.5,2.8,2026-04-17
KIN001,KIN001-128,Cc1ccc(Nc2ncc(O)cn2)c(F)c1,E,5.61,2.01,260.0,22.8,29.2,10.1,2026-04-21
KIN001,KIN001-129,CCc1cccc(NC(=O)c2ccc(Cl)cc2NC)n1,E,6.44,3.22,19.1,38.4,21.6,14.6,2026-04-24
KIN001,KIN001-130,CCc1ccc(Nc2ncc(CCO)cn2)c(Cl)c1,E,6.82,2.90,105.5,29.1,27.8,13.3,2026-04-22
KIN001,KIN001-131,CCc1ccc(C(=O)Nc2ccc(CC)cc2CN)cc1,E,6.20,3.10,25.6,46.5,24.0,14.9,2026-04-23
KIN001,KIN001-132,COc1ccc(C(=O)Nc2ccc(Cl)cc2OC)cc1,E,6.80,3.39,8.7,39.5,21.1,12.3,2026-04-24
KIN001,KIN001-133,N#Cc1ccc(Nc2ncc(CN)cn2)c(N)c1,E,5.00,0.87,260.0,14.5,43.3,2.4,2026-05-02
KIN001,KIN001-134,Nc1cnc(Nc2ccc(F)cc2CO)nc1,E,5.19,1.09,260.0,15.5,38.6,5.0,2026-04-30
KIN001,KIN001-135,Cc1ccc(NC(=O)c2ccc(NC=O)cc2)c(CO)c1,E,6.33,1.95,260.0,32.7,38.1,9.1,2026-04-30
KIN001,KIN001-136,Fc1ccc(Nc2ncc(C(F)(F)F)cn2)c(F)c1,E,6.02,3.24,25.7,41.3,24.1,14.3,2026-05-06
KIN001,KIN001-137,CCc1ccc(NC(=O)c2ccc(NC)cc2)c(CO)c1,E,5.91,2.75,92.4,27.1,33.1,15.5,2026-05-06
KIN001,KIN001-138,O=COc1ccc(Nc2ncc(Cl)cn2)c(F)c1,E,6.24,2.28,102.6,31.5,28.2,10.9,2026-05-11
KIN001,KIN001-139,COc1ccc(C(=O)Nc2ccc(CN)cc2N)cc1,E,6.16,1.70,260.0,7.5,35.2,9.7,2026-05-12
KIN001,KIN001-140,CCc1ccc(CCN2CCN(O)CC2)cc1,E,5.00,1.28,260.0,23.5,34.9,9.5,2026-05-14
KIN001,KIN001-141,NCc1ccc(C(=O)Nc2cccc(Cl)n2)c(NC=O)c1,E,6.29,1.86,260.0,27.4,38.9,8.3,2026-05-12
KIN001,KIN001-142,Cc1cccc(NC(=O)c2ccc(Cl)cc2NC=O)n1,E,6.68,2.49,260.0,20.3,34.1,9.1,2026-05-21
KIN001,KIN001-143,NCc1cnc(Nc2ccc(O)cc2OC=O)nc1,E,5.37,0.80,260.0,14.0,40.6,0.5,2026-05-16
KIN001,KIN001-144,CCc1cccc(NC(=O)c2ccc(CN)cc2CC)n1,E,6.82,2.80,149.2,41.9,27.9,15.9,2026-05-21
KIN001,KIN001-145,COc1cccc(NC(=O)c2ccc(C)cc2O)n1,E,6.34,2.01,260.0,24.2,40.6,7.0,2026-05-23
KIN001,KIN001-146,COc1ccc(C(=O)Nc2cccc(CN)n2)c(NC=O)c1,E,6.67,1.19,260.0,13.1,47.0,5.2,2026-05-27
KIN001,KIN001-147,CCOc1ccc(C(=O)Nc2ccc(CCO)cc2CC)cc1,E,6.75,3.38,35.1,47.6,17.7,14.9,2026-05-27
KIN001,KIN001-148,Oc1ccc(Nc2ncc(Cl)cn2)c(S)c1,E,5.56,2.87,65.0,35.2,25.8,11.7,2026-05-31
KIN001,KIN001-149,Cc1cc(C(F)(F)F)ccc1Nc1ncc(C(F)(F)F)cn1,E,6.30,4.37,1.5,42.3,11.7,17.2,2026-05-31
KIN001,KIN001-150,Cc1ccc(C(=O)Nc2ccc(CO)cc2O)cc1,E,6.27,2.21,260.0,23.6,32.8,10.1,2026-06-06
KIN001,KIN001-151,CCOc1cc(F)ccc1Nc1ncc(N)cn1,F,6.00,2.30,260.0,25.0,32.3,9.5,2026-06-05
KIN001,KIN001-152,CNc1ccc(C(=O)Nc2ccc(N)cc2C)cc1,F,6.06,2.50,177.8,17.1,32.1,13.9,2026-06-04
KIN001,KIN001-153,CNc1cc(CN)ccc1Nc1ncc(O)cn1,F,5.24,1.23,260.0,22.9,33.1,6.0,2026-01-05
KIN001,KIN001-154,COc1ccc(C(=O)Nc2cccc(C)n2)c(Br)c1,F,7.08,2.84,12.7,35.5,27.7,15.1,2026-06-07
KIN001,KIN001-155,N#Cc1cc(Cl)ccc1Nc1ncc(C(F)(F)F)cn1,F,6.79,3.34,35.3,28.7,26.8,14.5,2026-01-11
KIN001,KIN001-156,Nc1cc(OC=O)ccc1Nc1ncc(O)cn1,F,5.23,0.96,260.0,10.7,48.8,3.2,2026-01-12
KIN001,KIN001-157,CCN1CCN(CCc2ccc(C)cc2)CC1,F,5.00,1.91,157.3,39.9,32.4,11.9,2026-01-10
KIN001,KIN001-158,CCOc1cc(CCO)ccc1C(=O)Nc1cccc(C)n1,F,6.63,2.00,237.4,30.6,35.2,11.8,2026-01-17
KIN001,KIN001-159,CCc1cccc(NC(=O)c2ccc(N)cc2Br)n1,F,6.77,3.06,78.0,38.0,22.2,11.9,2026-01-13
KIN001,KIN001-160,CCOc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2OC)cc1,F,6.25,4.21,3.1,62.9,9.9,13.7,2026-01-20
KIN001,KIN001-161,CCOc1cc(C(F)(F)F)ccc1Nc1ncc(CN)cn1,F,6.84,2.66,118.9,31.1,31.8,14.5,2026-01-24
KIN001,KIN001-162,Cc1ccc(Nc2ncc(CN)cn2)c(CCO)c1,F,5.81,1.14,260.0,14.3,39.9,4.8,2026-01-26
KIN001,KIN001-163,Cc1cnc(Nc2ccc(N)cc2OC=O)nc1,F,5.17,1.25,260.0,25.0,34.7,5.4,2026-01-23
KIN001,KIN001-164,CCOc1cc(OC)ccc1Nc1ncc(CO)cn1,F,6.27,2.27,229.2,33.2,31.7,10.4,2026-01-24
KIN001,KIN001-165,Oc1ccc(Nc2ncc(C(F)(F)F)cn2)c(Br)c1,F,6.59,3.53,3.5,39.5,20.4,15.1,2026-01-30
KIN001,KIN001-166,COc1cnc(Nc2ccc(CO)cc2N)nc1,F,5.01,0.77,260.0,4.9,46.6,2.1,2026-02-03
KIN001,KIN001-167,O=COc1cc(C(F)(F)F)ccc1C(=O)Nc1cccc(F)n1,F,6.84,2.80,16.9,40.5,21.8,13.4,2026-01-29
KIN001,KIN001-168,O=C(Nc1cccc(O)n1)c1ccc(CO)cc1S,F,6.36,1.63,260.0,21.6,39.5,7.5,2026-02-03
KIN001,KIN001-169,Clc1ccc(CCN2CCN(Cl)CC2)cc1,F,5.85,2.70,11.8,28.9,22.5,16.9,2026-02-06
KIN001,KIN001-170,NCc1ccc(C(=O)Nc2cccc(CCO)n2)c(S)c1,F,6.82,1.38,260.0,28.9,40.1,6.1,2026-02-06
KIN001,KIN001-171,CCc1cnc(Nc2ccc(C(F)(F)F)cc2S)nc1,F,6.31,3.52,11.3,42.8,17.1,10.9,2026-02-10
KIN001,KIN001-172,CNc1ccc(C(=O)Nc2ccc(CCO)cc2OC)cc1,F,6.76,2.31,248.8,36.3,35.9,12.4,2026-02-15
KIN001,KIN001-173,CCc1ccc(C(=O)Nc2ccc(N)cc2CN)cc1,F,6.21,2.19,260.0,32.4,32.8,8.2,2026-02-15
KIN001,KIN001-174,COc1cc(C)ccc1C(=O)Nc1cccc(CO)n1,F,6.18,1.74,260.0,21.1,39.3,9.1,2026-02-12
KIN001,KIN001-175,NCc1ccc(C(=O)Nc2cccc(CN)n2)c(OC=O)c1,F,6.07,0.34,260.0,14.8,49.6,3.9,2026-02-18
KIN001,KIN001-176,N#Cc1cnc(Nc2ccc(CCO)cc2NC=O)nc1,F,5.70,1.02,260.0,17.2,42.3,5.0,2026-02-20
